ZIP,Latitude,Longitude
60002,,
60010,,
60015,,
60020,,
60030,,
60031,,
60035,,
60040,,
60042,,
60044,,
60045,,
60046,,
60047,,
60048,,
60060,,
60061,,
60064,,
60069,,
60073,,
60083,,
60084,,
60085,,
60087,,
60089,,
60096,,
60099,,
60041,,
